comment_id;parent_comment_id;video_id;author_display_name;author_channel_id;author_channel_url;text_display;text_original;like_count;total_reply_count
Ugy8IhzBi2SxS94K81Z4AaABAg;None;vE7Cy5csYbQ;@Soraj_83;UC0NSR3gQTRrpdsEcyemHTCw;http://www.youtube.com/@Soraj_83;ممنون همدانی عزیز .<br>روی کدام پلت فرم با پایتون میتونیم در بخش AI کار کنیم ؟;"ممنون همدانی عزیز .
روی کدام پلت فرم با پایتون میتونیم در بخش AI کار کنیم ؟";1;0
UgzK0JLe3EPeR99h2uB4AaABAg;None;vE7Cy5csYbQ;@SoheilStorm934;UCoEPtddRdAsZ65LYi7zYCTA;http://www.youtube.com/@SoheilStorm934;Python is a complete and good programming language.;Python is a complete and good programming language.;0;0
UgzUcGuFqJeinxPqsGh4AaABAg;None;vE7Cy5csYbQ;@shadowlegend9751;UC-CE1pV_rTf7pMpqFn5dP-A;http://www.youtube.com/@shadowlegend9751;Python is simple and yet so complicated.;Python is simple and yet so complicated.;0;0
UgyS1MmTSsbF8uYbnwZ4AaABAg;None;vE7Cy5csYbQ;@bharatdas92;UCGhs9g7dDv66mZp0HJY_uow;http://www.youtube.com/@bharatdas92;Sir, please make some videos on Java springboot and microservices;Sir, please make some videos on Java springboot and microservices;0;0
Ugyx-fAeJdfJC8q-IHF4AaABAg;None;vE7Cy5csYbQ;@bobursymon2397;UCNA2YS-Ei8ffGc3t7FNuWKQ;http://www.youtube.com/@bobursymon2397;"Better than Fireship&#39;s 100 seconds videos no rushing, simple and concise";Better than Fireship's 100 seconds videos no rushing, simple and concise;9;2
UgxeOqhk5ilkQ6b3BMJ4AaABAg;None;vE7Cy5csYbQ;@chandrasekars8904;UCk7GNe7eKUBxaaL3BYibulg;http://www.youtube.com/@chandrasekars8904;"This is really an excellent channel on  Python like  &quot;techie talkee&quot;";"This is really an excellent channel on  Python like  ""techie talkee""";0;0
UgwEPJw3hTWVbEiK0AF4AaABAg;None;vE7Cy5csYbQ;@devpatel9217;UCMHjy8s-GgDhfe_EIulpnag;http://www.youtube.com/@devpatel9217;Please make new playlist for python  beginners to advance;Please make new playlist for python  beginners to advance;0;0
UgyZHRfU9ZkxBz7TZ_F4AaABAg;None;vE7Cy5csYbQ;@jaysikotar9860;UCWMNNSwdH2QPfmYnhD4KNJA;http://www.youtube.com/@jaysikotar9860;Mosh your videos are good;Mosh your videos are good;1;0
Ugy2o0eN2JGht6mZoQB4AaABAg;None;vE7Cy5csYbQ;@Ali-hh9oi;UC9gJPyPg6guvYr_39lTJf-g;http://www.youtube.com/@Ali-hh9oi;"Python is actually loved by c++ programmers and it&#39;s 2nd language for 90% of c++ developers. (Check statistics and reports)";Python is actually loved by c++ programmers and it's 2nd language for 90% of c++ developers. (Check statistics and reports);0;0
Ugw9nNKaUDqLeRUgIKx4AaABAg;None;vE7Cy5csYbQ;@CultureofSpeech;UC2wTlQtEUXUV2vX7_E0ZLhw;http://www.youtube.com/@CultureofSpeech;Bravo 🎉 impressive 😍 Lit 💡 🌠 Gratitude for your satisfactory Work 🚀🌱;Bravo 🎉 impressive 😍 Lit 💡 🌠 Gratitude for your satisfactory Work 🚀🌱;0;0
UgwXP284XUVKDJs-36R4AaABAg;None;vE7Cy5csYbQ;@guilherme5094;UCMsa3vpbs7Fyj2m1EtLCJUg;http://www.youtube.com/@guilherme5094;I Really like C++ and Python, for me they are like Riggs and Murtaugh from Lethal Weapon.;I Really like C++ and Python, for me they are like Riggs and Murtaugh from Lethal Weapon.;0;0
Ugy-CXowPoTnWGnrgWF4AaABAg;None;vE7Cy5csYbQ;@snekface1707;UCiXdNCeRRcvIKlkrqSP4wnA;http://www.youtube.com/@snekface1707;"I think i&#39;d like python a lot more if it had curly braces. Relying on tabbing to indicate scope just makes things harder to read imo";I think i'd like python a lot more if it had curly braces. Relying on tabbing to indicate scope just makes things harder to read imo;0;0
